f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__criterion
0.685312496228443,0.7368559411146162,0.17769896004981578,0.8497000524368081,896,5.0,35,60,0.005784348868579758,10.0,entropy
0.5100599978159196,0.6483701366982124,0.2076410735219567,0.8070983043201101,69,21.0,23,13,0.09680295337026917,22.0,gini
0.5100599978159196,0.6483701366982124,0.2253502949801746,0.7511278133133235,379,27.0,20,41,0.43463844791932144,47.0,entropy
0.5100599978159196,0.6483701366982124,0.22343813475467184,0.7695701277805282,827,1.0,38,53,0.38474600320943714,55.0,gini
0.5100599978159196,0.6483701366982124,0.21182916610196376,0.7913073780994557,69,7.0,35,56,0.1487439744354141,6.0,entropy
0.5139299877542745,0.6500525762355416,0.20119172396686724,0.8268193540320665,862,25.0,44,56,0.0603506116581885,18.0,entropy
0.5100599978159196,0.6483701366982124,0.22371242710384756,0.76322442284592,379,21.0,29,47,0.396825016559427,14.0,entropy
0.5100599978159196,0.6483701366982124,0.21096770768830814,0.8026573196391076,276,21.0,23,13,0.14344517059462786,35.0,entropy
0.5100599978159196,0.6483701366982124,0.2173395304952627,0.7900981111982364,931,30.0,5,60,0.24372275821038336,55.0,gini
0.5100599978159196,0.6483701366982124,0.2125598619641115,0.7995170522443653,414,15.0,26,47,0.14671592332306765,6.0,gini
0.5100599978159196,0.6483701366982124,0.2221039794317966,0.7838800791246797,689,11.0,56,60,0.33843545937877545,2.0,gini
0.5100599978159196,0.6483701366982124,0.2169079061218116,0.7924120757138623,793,9.0,47,56,0.23281493723949004,,gini
0.5100599978159196,0.6483701366982124,0.21985751686372115,0.7827888217160163,862,30.0,26,4,0.29388956437787933,10.0,entropy
0.5100599978159196,0.6483701366982124,0.22350446233773627,0.7694778711043895,242,23.0,41,60,0.38026649231352094,43.0,entropy
0.5100599978159196,0.6483701366982124,0.2058654410954483,0.8143031518246381,173,27.0,20,56,0.08574613991134411,51.0,entropy
0.581459214852228,0.681335436382755,0.19319271574523914,0.8344785435390403,207,21.0,60,28,0.036524914847492984,10.0,entropy
