f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__max_features,model__criterion
0.6964343395486287,0.7016513017931314,0.22878939707337984,0.7714955532637908,488,5.0,3,48,0.21052631578947367,16.0,0.38421052631578945,gini
0.6964725947274645,0.697092493161787,0.21873148934161252,0.7629217285607608,8,3.0,39,28,0.02631578947368421,2.0,,gini
0.5962096127066174,0.6238476344848546,0.2439515504573195,0.674136681831789,19,,37,13,0.4473684210526315,27.0,0.38421052631578945,entropy
0.7263656006362523,0.7273832438456084,0.19585979775203768,0.7974082773276487,988,15.0,53,56,0.0,49.0,0.19473684210526315,entropy
0.7009309839249469,0.7028669840948232,0.2185663505354258,0.762401044288078,33,15.0,11,14,0.2631578947368421,7.0,,entropy
0.35614347451687645,0.5203120251241009,0.24960520939347014,0.4936676568405886,8,21.0,56,23,0.5,17.0,log2,entropy
0.6322394070766194,0.6551514537534191,0.24009938023903785,0.7449230353600648,209,5.0,26,6,0.4473684210526315,19.0,0.8105263157894737,entropy
0.7264128359139241,0.7274845507040827,0.19365163846858452,0.7935290407155569,858,11.0,47,5,0.02631578947368421,43.0,0.38421052631578945,entropy
0.6419434660036549,0.6498834971127545,0.23700788926093166,0.6994158878504673,7,13.0,57,7,0.3157894736842105,18.0,0.9052631578947369,entropy
0.6946088644849606,0.6968898794448384,0.2122288783587609,0.7578383902930059,12,21.0,24,14,0.21052631578947367,45.0,0.8578947368421053,gini
0.7144580604543889,0.7159355688380103,0.2107884618022554,0.7771203414948666,1508,9.0,36,47,0.18421052631578946,11.0,0.9052631578947369,entropy
0.7173128525376172,0.7192786951676629,0.21106027977729463,0.7839989251185083,25,13.0,45,21,0.02631578947368421,15.0,log2,entropy
0.5721233419483853,0.6218214973153683,0.24329342367721984,0.7307365117587266,562,15.0,6,14,0.47368421052631576,57.0,0.9526315789473684,entropy
0.6469803417588802,0.6593050349508661,0.23963046779086494,0.6812761935543296,16,30.0,27,57,0.3684210526315789,10.0,0.43157894736842106,gini
0.6608726256076639,0.6639651504406848,0.23277442368265805,0.7164137158825871,21,15.0,49,38,0.3421052631578947,58.0,0.6684210526315789,entropy
0.3714989617146756,0.5260865160571371,0.24503285822186952,0.7525862742485698,424,13.0,10,33,0.39473684210526316,6.0,log2,gini
0.7023125567902099,0.7044878938304123,0.2263288906065512,0.7641840358304797,137,9.0,52,44,0.3421052631578947,39.0,,entropy
0.35614347451687645,0.5203120251241009,0.24738430922895646,0.6514820329487774,44,27.0,35,17,0.4473684210526315,56.0,sqrt,gini
0.6908974425080799,0.6968898794448384,0.23024294036474252,0.7652995029392704,241,15.0,51,42,0.2631578947368421,8.0,0.4789473684210527,entropy
0.6704433343602104,0.683719987843177,0.23576596647203504,0.7414969431258573,12,27.0,2,47,0.21052631578947367,33.0,0.19473684210526315,gini
0.45567351782507975,0.5620504508155202,0.2438122586895866,0.755066355633629,488,17.0,55,41,0.42105263157894735,39.0,0.33684210526315794,gini
0.35614347451687645,0.5203120251241009,0.2461087279380016,0.7475307537822342,424,9.0,36,50,0.42105263157894735,60.0,sqrt,entropy
0.6900425985559704,0.6974977205956844,0.23292506484133213,0.7725740738913178,1737,,9,60,0.2894736842105263,57.0,0.4789473684210527,gini
0.6401011356689483,0.6480599736602168,0.23446249279970147,0.6966087159977236,5,13.0,58,37,0.05263157894736842,6.0,0.1,gini
0.38453390563233114,0.531151858980853,0.24488166065817946,0.7433852640080003,209,7.0,10,43,0.39473684210526316,36.0,0.19473684210526315,entropy
0.6381130126576543,0.6606220241110323,0.23935922189185832,0.7494261678953378,2000,25.0,15,60,0.4473684210526315,49.0,0.9526315789473684,gini
0.6641672600013251,0.678654644919461,0.23717546999193712,0.7610121691059157,119,17.0,27,43,0.2894736842105263,29.0,0.24210526315789474,entropy
0.6807614908764905,0.6891905582007902,0.22336865244363355,0.7367421962123379,9,13.0,16,5,0.2631578947368421,2.0,0.6684210526315789,gini
0.724410013453682,0.725357106676122,0.18807989303210196,0.7926514127248863,988,13.0,2,5,0.02631578947368421,15.0,,gini
0.520639281882738,0.5895046094620606,0.24376617277332116,0.7208577175997657,33,3.0,34,16,0.21052631578947367,43.0,0.1,gini
0.35614347451687645,0.5203120251241009,0.24852871666279452,0.6828196189310728,209,7.0,48,60,0.47368421052631576,37.0,0.1,gini
0.7225577527897081,0.7234322763651099,0.19496040006828588,0.7852663107303931,67,25.0,14,7,0.07894736842105263,43.0,1.0,entropy
0.7256437264665635,0.7265727889778137,0.1878488897725057,0.7935649386322441,182,25.0,31,56,0.02631578947368421,44.0,0.8105263157894737,gini
0.7084019332359649,0.7086414750278593,0.2102820623918671,0.7651290392352305,5,23.0,48,22,0.07894736842105263,16.0,0.33684210526315794,gini
0.7161722666122348,0.7171512511397021,0.2031859477546045,0.7821304652830547,209,27.0,10,28,0.13157894736842105,18.0,0.9052631578947369,gini
0.4379454026694519,0.5308479384054301,0.24577334786524638,0.6080558749222829,6,27.0,53,56,0.4473684210526315,7.0,log2,gini
0.6128275296054918,0.6127038800526796,0.24526616310757662,0.5955164817903397,7,13.0,12,27,0.39473684210526316,31.0,0.33684210526315794,entropy
0.6393675441605097,0.6458312227737818,0.23518303369197413,0.6891953644399267,5,9.0,26,1,0.3157894736842105,17.0,0.9052631578947369,entropy
0.6590320954831774,0.6762232803160774,0.2376828468010628,0.7639118408024026,182,30.0,11,13,0.23684210526315788,14.0,log2,gini
0.41744025010651986,0.5449295917333603,0.24432892414526738,0.758436503863652,1310,1.0,5,38,0.39473684210526316,33.0,0.24210526315789474,gini
0.710292788910255,0.7109715327727687,0.19974548099144446,0.7745530647692171,5,3.0,56,12,0.05263157894736842,39.0,,gini
0.7132718540351702,0.7154290345456388,0.21670404596724002,0.777321049090915,562,5.0,58,37,0.18421052631578946,38.0,0.6210526315789474,gini
0.35614347451687645,0.5203120251241009,0.2471537631541252,0.6884376017724443,103,3.0,28,43,0.47368421052631576,37.0,0.24210526315789474,entropy
0.6923325079287448,0.6985107891804275,0.23125135665296506,0.7679365606094998,277,11.0,44,46,0.2631578947368421,16.0,0.43157894736842106,entropy
0.7220613456111662,0.7230270489312126,0.19208479537360543,0.784960993397744,10,17.0,31,21,0.05263157894736842,,0.9052631578947369,gini
0.7067639575687072,0.7079323270185391,0.2018969066390228,0.7696969977334557,6,11.0,34,17,0.10526315789473684,23.0,,gini
0.5002308820074518,0.5822105156519096,0.24376515267891127,0.7454472148480034,424,17.0,12,29,0.4473684210526315,46.0,0.4789473684210527,gini
0.6737628225353289,0.6873670347482524,0.23472349702107248,0.7782012676528931,368,17.0,44,7,0.10526315789473684,17.0,0.1473684210526316,gini
0.35614347451687645,0.5203120251241009,0.2496052093934702,0.4936676568405886,89,7.0,19,19,0.5,14.0,0.9526315789473684,entropy
0.66271114851345,0.6779454969101408,0.237586552821063,0.7438512995621523,16,15.0,34,32,0.21052631578947367,58.0,log2,gini
0.7259174476701656,0.7268767095532368,0.19024336386743354,0.7940472783375605,488,25.0,55,18,0.02631578947368421,,0.5263157894736842,gini
0.6981273123254801,0.7019552223685543,0.229670557721894,0.765060964778099,488,15.0,12,48,0.3684210526315789,36.0,0.9526315789473684,entropy
0.700296604678079,0.7056022692736298,0.22686394945991814,0.774743039998421,89,,9,5,0.10526315789473684,35.0,log2,entropy
0.7256981551983643,0.7265727889778137,0.18895652943644456,0.7936131726027758,988,7.0,29,9,0.02631578947368421,20.0,0.7157894736842105,gini
0.7146584236095745,0.7155303414041131,0.20111741432071592,0.7816605233118521,38,11.0,45,16,0.07894736842105263,23.0,0.5736842105263158,entropy
0.6906654198582692,0.6981055617465303,0.23056522015146813,0.7728207538480265,103,7.0,17,56,0.13157894736842105,52.0,0.19473684210526315,entropy
0.6780288715733688,0.6787559517779354,0.21914305155727723,0.7279871754384234,3,9.0,49,60,0.2631578947368421,51.0,1.0,gini
0.6837974104388224,0.6903049336440077,0.22962511633175356,0.7588752972988977,25,9.0,52,45,0.07894736842105263,25.0,log2,entropy
0.6406778666059881,0.6550501468949448,0.24063704513817874,0.6882010785000674,19,11.0,54,59,0.3684210526315789,23.0,0.4789473684210527,gini
