f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__max_features,model__criterion
0.5624270147513585,0.562434279705573,0.24855644475736138,0.5868236960153737,488,5.0,3,48,0.21052631578947367,16.0,0.38421052631578945,gini
0.5452658947553238,0.5457413249211357,0.24750269318242682,0.5744403270783646,8,3.0,39,28,0.02631578947368421,2.0,,gini
0.5306227297612842,0.5306256572029443,0.2496607969310222,0.5490573664226378,19,,37,13,0.4473684210526315,27.0,0.38421052631578945,entropy
0.581755323681302,0.5817560462670873,0.24597594999576367,0.6177334500956987,988,15.0,53,56,0.0,49.0,0.19473684210526315,entropy
0.5731234025218708,0.5736067297581493,0.24664173570968687,0.5896908561578326,33,15.0,11,14,0.2631578947368421,7.0,,entropy
0.490299898208706,0.49539957939011564,0.2500146508371914,0.4943750062195863,8,21.0,56,23,0.5,17.0,log2,entropy
0.5463889276997363,0.5463985278654049,0.249457118044124,0.5609091680570897,209,5.0,26,6,0.4473684210526315,19.0,0.8105263157894737,entropy
0.5809157997312069,0.5810988433228181,0.24354100282659247,0.613988291698041,858,11.0,47,5,0.02631578947368421,43.0,0.38421052631578945,entropy
0.5369804027865761,0.5374605678233438,0.24893840053621186,0.5503142065853532,7,13.0,57,7,0.3157894736842105,18.0,0.9052631578947369,entropy
0.5495218213055593,0.5506046267087277,0.24783506883777473,0.5696897725676995,12,21.0,24,14,0.21052631578947367,45.0,0.8578947368421053,gini
0.5720605693207205,0.5726866456361724,0.2462579302615666,0.5926658915680102,1508,9.0,36,47,0.18421052631578946,11.0,0.9052631578947369,entropy
0.5661649886312362,0.5662460567823344,0.24640551815177053,0.5962715584679805,25,13.0,45,21,0.02631578947368421,15.0,log2,entropy
0.541259343399897,0.541403785488959,0.24950712425111132,0.5585080967955587,562,15.0,6,14,0.47368421052631576,57.0,0.9526315789473684,entropy
0.5288476692773931,0.5291798107255521,0.24959352288673559,0.5495797425588871,16,30.0,27,57,0.3684210526315789,10.0,0.43157894736842106,gini
0.5472660187639071,0.5473186119873817,0.24912491851223523,0.5674724900790689,21,15.0,49,38,0.3421052631578947,58.0,0.6684210526315789,entropy
