f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__max_features,model__criterion
0.5628798899386335,0.6895751953125,0.2050878816668335,0.8114985534346504,488,5.0,3,48,0.21052631578947367,16.0,0.38421052631578945,gini
0.5628798899386335,0.6895751953125,0.1955254264996094,0.8219306282098378,8,3.0,39,28,0.02631578947368421,2.0,,gini
0.5628798899386335,0.6895751953125,0.21199650751168123,0.6640781914497793,19,,37,13,0.4473684210526315,27.0,0.38421052631578945,entropy
0.6090735910468601,0.710205078125,0.1734319609371432,0.8844391251845494,988,15.0,53,56,0.0,49.0,0.19473684210526315,entropy
0.5628798899386335,0.6895751953125,0.19998483806184614,0.8036573554790337,33,15.0,11,14,0.2631578947368421,7.0,,entropy
0.5628798899386335,0.6895751953125,0.21408558726091637,0.49155965438361754,8,21.0,56,23,0.5,17.0,log2,entropy
0.5628798899386335,0.6895751953125,0.2121576393187926,0.7288660182060974,209,5.0,26,6,0.4473684210526315,19.0,0.8105263157894737,entropy
0.6256465752670488,0.7177734375,0.16944141956564088,0.88096550275255,858,11.0,47,5,0.02631578947368421,43.0,0.38421052631578945,entropy
0.5628798899386335,0.6895751953125,0.2070313705611688,0.6754008431504934,7,13.0,57,7,0.3157894736842105,18.0,0.9052631578947369,entropy
0.5628798899386335,0.6895751953125,0.19789114319393425,0.8037116177773453,12,21.0,24,14,0.21052631578947367,45.0,0.8578947368421053,gini
0.5628798899386335,0.6895751953125,0.19449781781031492,0.8219474742344578,1508,9.0,36,47,0.18421052631578946,11.0,0.9052631578947369,entropy
0.5660015693623481,0.69091796875,0.18963418439287189,0.8406832469139233,25,13.0,45,21,0.02631578947368421,15.0,log2,entropy
0.5628798899386335,0.6895751953125,0.21282812430938022,0.7088527321223826,562,15.0,6,14,0.47368421052631576,57.0,0.9526315789473684,entropy
0.5628798899386335,0.6895751953125,0.21163158820564576,0.6829780040342749,16,30.0,27,57,0.3684210526315789,10.0,0.43157894736842106,gini
0.5628798899386335,0.6895751953125,0.20735862337234662,0.7680454163254824,21,15.0,49,38,0.3421052631578947,58.0,0.6684210526315789,entropy
0.5628798899386335,0.6895751953125,0.21280065632063433,0.7163884044496616,424,13.0,10,33,0.39473684210526316,6.0,log2,gini
0.5628798899386335,0.6895751953125,0.2052497330196157,0.779657339329126,137,9.0,52,44,0.3421052631578947,39.0,,entropy
0.5628798899386335,0.6895751953125,0.21397991737017286,0.5269004560747914,44,27.0,35,17,0.4473684210526315,56.0,sqrt,gini
0.5628798899386335,0.6895751953125,0.2067342695648584,0.7806710941082282,241,15.0,51,42,0.2631578947368421,8.0,0.4789473684210527,entropy
0.5628798899386335,0.6895751953125,0.20802408045902046,0.7050962774671126,12,27.0,2,47,0.21052631578947367,33.0,0.19473684210526315,gini
0.5628798899386335,0.6895751953125,0.21256726430588008,0.7437086189065162,488,17.0,55,41,0.42105263157894735,39.0,0.33684210526315794,gini
0.5628798899386335,0.6895751953125,0.21345326694370131,0.6645976685519596,424,9.0,36,50,0.42105263157894735,60.0,sqrt,entropy
0.5628798899386335,0.6895751953125,0.20856789075699472,0.767370322330582,1737,,9,60,0.2894736842105263,57.0,0.4789473684210527,gini
0.5628798899386335,0.6895751953125,0.20784433947849196,0.6468185342747338,5,13.0,58,37,0.05263157894736842,6.0,0.1,gini
0.5628798899386335,0.6895751953125,0.21294554827439505,0.6893898655290448,209,7.0,10,43,0.39473684210526316,36.0,0.19473684210526315,entropy
