mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__degree,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.3361729621887207,0.016128982618342048,0.011334705352783202,0.0003941578002989628,0.0625,4,256.0,poly,"OrderedDict([('model__C', 0.0625), ('model__degree', 4), ('model__gamma', 256.0), ('model__kernel', 'poly')])",0.6232765964845175,0.6482274805709617,0.5874137690753257,0.5781792209602119,0.6890601589458828,0.6252314452073799,0.04062224072627913,61
0.3862420082092285,0.02193368033138501,0.01585674285888672,0.001921161773216772,32.0,5,0.0625,sigmoid,"OrderedDict([('model__C', 32.0), ('model__degree', 5), ('model__gamma', 0.0625), ('model__kernel', 'sigmoid')])",0.7058400125180382,0.6314411391414712,0.6434760643857571,0.6157793881959446,0.6784486853988699,0.6549970579280162,0.03274332018524593,52
0.38979430198669435,0.009370010967185106,0.01473860740661621,0.00269362672562257,0.5,5,0.0009765625,poly,"OrderedDict([('model__C', 0.5), ('model__degree', 5), ('model__gamma', 0.0009765625), ('model__kernel', 'poly')])",0.6797955387102943,0.6645687361997322,0.6617674726499896,0.6840481499547071,0.6175867163423305,0.6615533227714108,0.023583879034506008,50
0.5219723224639893,0.008655406972347053,0.021692657470703126,0.0039464409792078926,32.0,2,4.0,sigmoid,"OrderedDict([('model__C', 32.0), ('model__degree', 2), ('model__gamma', 4.0), ('model__kernel', 'sigmoid')])",0.5363848949006381,0.554259610202201,0.5400512159431399,0.5351430213922375,0.5073791330888994,0.5346435751054232,0.015235897427081683,92
0.569983434677124,0.018056794876780725,0.04476432800292969,0.0036863415136403205,32.0,3,0.5,rbf,"OrderedDict([('model__C', 32.0), ('model__degree', 3), ('model__gamma', 0.5), ('model__kernel', 'rbf')])",0.6213102213258689,0.6648921188518178,0.6393648526235105,0.6848808445404502,0.6463654223968565,0.6513626919477008,0.021810932063869387,54
0.34324064254760744,0.00905622102258681,0.01403045654296875,0.0024295811638911737,32.0,5,0.0078125,linear,"OrderedDict([('model__C', 32.0), ('model__degree', 5), ('model__gamma', 0.0078125), ('model__kernel', 'linear')])",0.5331171653598067,0.673246170697359,0.595099644624068,0.6246968852344784,0.585063193778593,0.602244611938861,0.04619563070409365,72
0.4382453441619873,0.014357442279162655,0.016275501251220702,0.0008865511251893702,4.0,5,0.0625,sigmoid,"OrderedDict([('model__C', 4.0), ('model__degree', 5), ('model__gamma', 0.0625), ('model__kernel', 'sigmoid')])",0.7209624980440565,0.7506093850513762,0.6884102153160059,0.6523883353076441,0.6708824855001471,0.6966505838438459,0.03519564351176955,37
0.5411492824554444,0.010375601940106487,0.018525981903076173,0.0005740130298110426,0.5,5,0.5,sigmoid,"OrderedDict([('model__C', 0.5), ('model__degree', 5), ('model__gamma', 0.5), ('model__kernel', 'sigmoid')])",0.5338247822382948,0.5486725663716814,0.5432025642812348,0.5362988641906488,0.510974296150252,0.5345946146464223,0.012912800439876063,94
0.4024664402008057,0.012195171355675546,0.013164281845092773,0.0007887126597220424,256.0,4,256.0,poly,"OrderedDict([('model__C', 256.0), ('model__degree', 4), ('model__gamma', 256.0), ('model__kernel', 'poly')])",0.6232765964845175,0.6482274805709617,0.5874137690753257,0.5781792209602119,0.6890601589458828,0.6252314452073799,0.04062224072627913,61
0.462628173828125,0.013970184153487346,0.013613080978393555,0.0011007004477335523,0.0009765625,5,32.0,poly,"OrderedDict([('model__C', 0.0009765625), ('model__degree', 5), ('model__gamma', 32.0), ('model__kernel', 'poly')])",0.6186657857676862,0.6148999426256585,0.6126141035467911,0.6249494808724131,0.6250450265460854,0.6192348678717269,0.005086544940238269,69
0.539456844329834,0.025410078823932394,0.016575193405151366,0.002161991751838613,4.0,3,0.0625,sigmoid,"OrderedDict([('model__C', 4.0), ('model__degree', 3), ('model__gamma', 0.0625), ('model__kernel', 'sigmoid')])",0.7209624980440565,0.7506093850513762,0.6884102153160059,0.6523883353076441,0.6708824855001471,0.6966505838438459,0.03519564351176955,37
0.4906295299530029,0.028790348648353524,0.014474248886108399,0.002220513054206174,4.0,5,0.0625,poly,"OrderedDict([('model__C', 4.0), ('model__degree', 5), ('model__gamma', 0.0625), ('model__kernel', 'poly')])",0.639868212876193,0.6720447867586974,0.6530294056163334,0.64240645251202,0.6252416642159464,0.6465181043958381,0.015542343460389732,56
0.5047835826873779,0.017002205108995454,0.016424036026000975,0.0020400150745620528,0.0078125,4,0.0009765625,poly,"OrderedDict([('model__C', 0.0078125), ('model__degree', 4), ('model__gamma', 0.0009765625), ('model__kernel', 'poly')])",0.6673174887424589,0.6625536797816298,0.6626262978189673,0.6889816040694029,0.6688534631722006,0.6700665067169319,0.009783749376634676,44
0.7313901901245117,0.036909910534189676,0.05324363708496094,0.007169808547149171,0.0078125,4,0.0009765625,rbf,"OrderedDict([('model__C', 0.0078125), ('model__degree', 4), ('model__gamma', 0.0009765625), ('model__kernel', 'rbf')])",0.739640454126606,0.7390667107116158,0.6957198104661696,0.7610375583583027,0.716782590083545,0.7304494247492478,0.022303789068627438,20
0.8039020538330078,0.02208385173899839,0.06030092239379883,0.004088418700038873,32.0,3,32.0,rbf,"OrderedDict([('model__C', 32.0), ('model__degree', 3), ('model__gamma', 32.0), ('model__kernel', 'rbf')])",0.5341038301719492,0.5335213936749135,0.5117953452721065,0.5447233642254895,0.5332161047991772,0.5314720076287271,0.01074186055724331,98
0.5713957786560059,0.024822086630589383,0.018543815612792967,0.003084498084418884,32.0,4,256.0,linear,"OrderedDict([('model__C', 32.0), ('model__degree', 4), ('model__gamma', 256.0), ('model__kernel', 'linear')])",0.5331171653598067,0.673246170697359,0.595099644624068,0.6246968852344784,0.585063193778593,0.602244611938861,0.04619563070409365,72
0.8691805839538574,0.020450196988599137,0.06135039329528809,0.006091264824791222,256.0,4,0.0009765625,rbf,"OrderedDict([('model__C', 256.0), ('model__degree', 4), ('model__gamma', 0.0009765625), ('model__kernel', 'rbf')])",0.6135803327711806,0.6704835092233601,0.6388770817364643,0.7005748728311616,0.6377481680503811,0.6522527929225095,0.030173615594124736,53
