mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__degree,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.48745179176330566,0.02684002736094493,0.024103069305419923,0.004319497020969266,0.0625,4,256.0,poly,"OrderedDict([('model__C', 0.0625), ('model__degree', 4), ('model__gamma', 256.0), ('model__kernel', 'poly')])",0.47442092009438575,0.5380973502438622,0.3485171122482504,0.4576367143222565,0.38651126167901395,0.44103667171755373,0.06684868584260457,89
1.118906354904175,0.044879631036881036,0.04061245918273926,0.0034035767506470707,32.0,5,0.0625,sigmoid,"OrderedDict([('model__C', 32.0), ('model__degree', 5), ('model__gamma', 0.0625), ('model__kernel', 'sigmoid')])",0.726417431107826,0.7306692166060964,0.5238102165534984,0.5886156360281594,0.4927480097032648,0.6124521019997691,0.09971761439441755,40
0.8050412178039551,0.022154813194688924,0.029119586944580077,0.0012226813332261838,0.5,5,0.0009765625,poly,"OrderedDict([('model__C', 0.5), ('model__degree', 5), ('model__gamma', 0.0009765625), ('model__kernel', 'poly')])",0.5094211429311186,0.3242971774923379,0.28090248606761975,0.6212450462311351,0.4382835259074989,0.4348298757259421,0.1234807833657989,94
1.0779150485992433,0.026787222646361058,0.0354865550994873,0.0017566660496350917,32.0,2,4.0,sigmoid,"OrderedDict([('model__C', 32.0), ('model__degree', 2), ('model__gamma', 4.0), ('model__kernel', 'sigmoid')])",0.39171271706495825,0.3942851928174415,0.3711677619814833,0.49235401156778535,0.6695710390761289,0.46381814450155945,0.11114555029498255,79
1.1125961780548095,0.018389440997663063,0.08369679450988769,0.0037489279550394516,32.0,3,0.5,rbf,"OrderedDict([('model__C', 32.0), ('model__degree', 3), ('model__gamma', 0.5), ('model__kernel', 'rbf')])",0.5702928620392016,0.5302692625680675,0.680194441110614,0.2893364707707937,0.4859015344105849,0.5111989141798523,0.12827950904371707,70
0.7008336544036865,0.021345504744583944,0.025639820098876952,0.0032200464627787392,32.0,5,0.0078125,linear,"OrderedDict([('model__C', 32.0), ('model__degree', 5), ('model__gamma', 0.0078125), ('model__kernel', 'linear')])",0.6501554248314096,0.7318570728227412,0.6831521548061105,0.4778112373117447,0.2182216257696602,0.5522395031083331,0.18766759474286115,55
1.0163482666015624,0.034988317465539064,0.04048032760620117,0.0038445774304101724,4.0,5,0.0625,sigmoid,"OrderedDict([('model__C', 4.0), ('model__degree', 5), ('model__gamma', 0.0625), ('model__kernel', 'sigmoid')])",0.49782575016394415,0.682472208318086,0.8181853173260982,0.7257776007816924,0.7955079969498483,0.7039537747079339,0.1138925111855157,29
0.9846660614013671,0.0171770745116623,0.03559103012084961,0.002643684503863305,0.5,5,0.5,sigmoid,"OrderedDict([('model__C', 0.5), ('model__degree', 5), ('model__gamma', 0.5), ('model__kernel', 'sigmoid')])",0.35640537366991487,0.41239226905094895,0.4016535192519612,0.40050789390418207,0.6170813951655822,0.4376080902085179,0.09177095590719425,93
0.582900094985962,0.03979914669369942,0.030602407455444337,0.009037833543072601,256.0,4,256.0,poly,"OrderedDict([('model__C', 256.0), ('model__degree', 4), ('model__gamma', 256.0), ('model__kernel', 'poly')])",0.47442092009438575,0.5380973502438622,0.3485171122482504,0.4576367143222565,0.38651126167901395,0.44103667171755373,0.06684868584260457,89
0.6284043312072753,0.04059887035909356,0.02091984748840332,0.002917056104720798,0.0009765625,5,32.0,poly,"OrderedDict([('model__C', 0.0009765625), ('model__degree', 5), ('model__gamma', 32.0), ('model__kernel', 'poly')])",0.5490903258843207,0.5096348842870998,0.430609351454823,0.29159377701160294,0.4316428388717348,0.44251423550191626,0.08820492373369442,88
0.6175979137420654,0.03950108028335101,0.02454714775085449,0.0021259008648825545,4.0,5,0.0625,linear,"OrderedDict([('model__C', 4.0), ('model__degree', 5), ('model__gamma', 0.0625), ('model__kernel', 'linear')])",0.455169645453115,0.6892722152305724,0.6324785392246359,0.8124623428705127,0.2874616457968885,0.5753688777151449,0.18427545934360098,46
0.9281502723693847,0.040803526520900676,0.03721146583557129,0.0008698760771921113,0.0078125,5,0.0625,sigmoid,"OrderedDict([('model__C', 0.0078125), ('model__degree', 5), ('model__gamma', 0.0625), ('model__kernel', 'sigmoid')])",0.7938484328210917,0.7887726061801873,0.7676650579419719,0.76850518319701,0.7955079969498483,0.7828598554180218,0.012268850182789925,1
1.0755412101745605,0.045083110553648054,0.08423018455505371,0.00430704747542089,0.0078125,3,0.0625,rbf,"OrderedDict([('model__C', 0.0078125), ('model__degree', 3), ('model__gamma', 0.0625), ('model__kernel', 'rbf')])",0.6414226503382419,0.7720510590202035,0.6658553335830676,0.4257765097099325,0.7454668999135629,0.6501144905130016,0.12215683409026447,35
1.086087942123413,0.042653153554572554,0.039333009719848634,0.002484601025233257,0.0078125,3,0.0625,sigmoid,"OrderedDict([('model__C', 0.0078125), ('model__degree', 3), ('model__gamma', 0.0625), ('model__kernel', 'sigmoid')])",0.7938484328210917,0.7887726061801873,0.7676650579419719,0.76850518319701,0.7955079969498483,0.7828598554180218,0.012268850182789925,1
0.7861017704010009,0.026236940250131947,0.028922462463378908,0.0013171332464048948,0.0078125,4,0.0625,poly,"OrderedDict([('model__C', 0.0078125), ('model__degree', 4), ('model__gamma', 0.0625), ('model__kernel', 'poly')])",0.7128771435908365,0.3267917361831372,0.6294050506924063,0.6209362123080169,0.41232238260977094,0.5404665050768336,0.14573173294483255,60
