f1_mean,accuracy_mean,brier_score_mean,roc_auc_mean,model__kernel,model__C,model__gamma,model__degree
0.3506802364906619,0.500788643533123,0.25825789443756014,0.49740228615404014,linear,0.0009765625,32.0,4
0.3430707927470569,0.5013144058885384,0.2524956370984975,0.5030631807682654,poly,0.0078125,0.0078125,2
0.3946200691928985,0.5060462670872765,0.2507628267726927,0.5083024565430599,linear,4.0,0.5,2
0.44943410723829863,0.5139327024185069,0.2538069785290622,0.4940611935413606,linear,0.0009765625,0.0078125,3
0.38586199835918233,0.4985541535226078,0.2506444522282756,0.4954387627833229,linear,4.0,0.0078125,5
0.44444511613593923,0.49986855941114616,0.2506411133046187,0.4978827837430521,poly,0.5,4.0,4
0.5059291344469581,0.5081493165089379,0.2522972271199679,0.4913763363817598,linear,256.0,256.0,3
0.42472903317486566,0.5076235541535226,0.25141807898736823,0.5092113799630915,sigmoid,0.0625,0.0625,3
0.34065853619248365,0.5014458464773922,0.25498337889309824,0.4960332861197633,poly,256.0,0.0625,2
0.3584372759251973,0.5032860147213459,0.2537515022833996,0.49518721507384444,linear,0.5,0.0009765625,4
0.362431527246743,0.5,0.25168521670539473,0.506683567355631,rbf,4.0,0.0625,2
0.34584211919480395,0.4978969505783386,0.2507756767006093,0.517660964273591,sigmoid,4.0,0.0009765625,5
0.34005173846653375,0.5001314405888538,0.2545591529314563,0.4770504179009091,linear,4.0,0.0625,4
0.4471036668385217,0.512223974763407,0.252209590415919,0.5002677877401728,poly,32.0,0.0009765625,2
0.3354297693920335,0.5005257623554153,0.25,0.5,poly,256.0,0.0009765625,5
0.5097095179637626,0.5140641430073607,0.2504024892890141,0.5037049038534898,rbf,0.5,32.0,4
0.3467653375366804,0.5011829652996845,0.25068792753579394,0.5003238331226967,poly,0.0625,0.0625,3
0.445418896051634,0.5076235541535226,0.24934443900373912,0.5202245049485792,rbf,32.0,32.0,2
0.4272582900141925,0.5043375394321766,0.2502623702001471,0.4948780325320295,poly,4.0,32.0,3
0.33646592739648956,0.5002628811777077,0.2525854500748892,0.49824949745743313,poly,0.5,0.5,4
0.36979140015361645,0.5021030494216614,0.25552114692693956,0.4992177142661275,poly,32.0,0.0625,2
0.3375635175683073,0.5006572029442692,0.25004477134512987,0.5019683608266687,poly,256.0,0.0009765625,4
0.3476180818401074,0.4993427970557308,0.25376837466283936,0.5070431285458552,sigmoid,0.0625,0.0009765625,3
0.5077825784775625,0.5088065194532071,0.24961704315173988,0.5170500281401723,rbf,0.0078125,32.0,5
0.46635243404903703,0.49566246056782337,0.25038603791752445,0.4963281636132645,sigmoid,32.0,0.5,3
0.35320074638761517,0.49947423764458465,0.25165722148815395,0.4897421055483132,rbf,0.0078125,0.0078125,4
0.4638899685598705,0.4975026288117771,0.25068152783197234,0.4965761177840361,sigmoid,4.0,0.5,4
0.3964616830016263,0.49802839116719244,0.2505235353466015,0.49280065618016783,poly,0.0078125,4.0,5
0.4817664824361968,0.48803890641430075,0.25098960986482244,0.4885494653367256,linear,256.0,0.0009765625,2
0.338405503430134,0.5,0.25127323539157614,0.4939605744575692,poly,32.0,0.0078125,5
0.41210881595267634,0.5094637223974764,0.25178805436980134,0.5132219419262031,linear,0.5,0.5,5
0.4550653509508572,0.49842271293375395,0.24978380540092526,0.5039288780640445,rbf,4.0,256.0,2
0.4937434492030827,0.5118296529968455,0.2503149433049562,0.5157922895927802,linear,32.0,4.0,4
0.40706124877316774,0.5134069400630915,0.25179084046536476,0.5023163812291229,rbf,0.0009765625,0.0625,5
0.3409455009589226,0.501577287066246,0.25005952930099584,0.4904592238398675,poly,0.5,0.0009765625,4
0.3384656853194822,0.5001314405888538,0.25,0.5,poly,4.0,0.0009765625,4
0.34006850523173515,0.5006572029442692,0.2531967091247293,0.49686871476258876,poly,0.0078125,0.0625,3
0.36381247895045743,0.5049947423764458,0.25358827667281575,0.49098201461519836,linear,4.0,0.0625,5
0.37445844583652693,0.49697686645636174,0.2509108289699492,0.5032836650998838,linear,0.0009765625,0.0625,4
0.3502948059201842,0.5,0.2520787540201576,0.5055858794937201,poly,0.0009765625,0.0078125,2
0.48244930395708074,0.5006572029442692,0.25019732201558437,0.5156065312842423,linear,32.0,0.5,2
0.4227629519825917,0.49763406940063093,0.25030210657337354,0.49195700386222485,poly,0.0078125,32.0,5
0.41286659784312363,0.49947423764458465,0.25003824659349655,0.5026042098582377,poly,0.0625,4.0,5
0.4790604782108605,0.5092008412197687,0.25068595358768264,0.48591740555351004,poly,4.0,256.0,3
0.46265857910798736,0.49592534174553105,0.25057804765945696,0.5008237496420282,sigmoid,4.0,0.5,2
0.3380318454711564,0.5011829652996845,0.25,0.5,poly,0.0078125,0.0009765625,4
0.3745547589608762,0.4955310199789695,0.2526580482972045,0.4938169711223229,linear,4.0,4.0,3
0.3484688411653978,0.5006572029442692,0.25,0.5,poly,0.0009765625,0.0009765625,2
0.33606436615183694,0.5003943217665615,0.25010773600923986,0.4858102904574409,poly,0.0009765625,0.0009765625,4
0.4624904623567295,0.4944794952681388,0.25080292568430024,0.5028344036550159,linear,4.0,0.0078125,4
0.4826664146779994,0.4960567823343849,0.2527652384563453,0.4873172961993629,sigmoid,0.0078125,4.0,3
0.3333333333333333,0.5,0.25,0.5,sigmoid,0.0078125,256.0,5
0.3551459153421563,0.499211356466877,0.25066870514245215,0.4930413196137554,sigmoid,0.0078125,0.0009765625,2
0.46657793668669645,0.4944794952681388,0.25110836825898153,0.4879483077749803,sigmoid,0.0625,0.5,5
0.46797754769511407,0.5224763406940063,0.25003225369946813,0.49934314258829876,sigmoid,256.0,32.0,2
0.3683314756141444,0.5026288117770767,0.2507150824185972,0.5107039078904159,linear,0.0009765625,0.5,4
0.46236244939141985,0.5032860147213459,0.25434380195107614,0.5012756025811559,linear,0.0078125,0.0078125,3
0.4622711159288665,0.49263932702418506,0.2511122897391464,0.5014857209357353,sigmoid,0.0078125,0.5,3
0.3652408923586191,0.4978969505783386,0.25169986939602873,0.5201327314985277,rbf,0.5,0.0078125,2
0.3333333333333333,0.5,0.2500513157714059,0.49145636172450047,sigmoid,256.0,256.0,2
0.4914289281370496,0.5113038906414301,0.25034216144971444,0.5099537566853641,linear,32.0,4.0,2
