f1_mean,accuracy_mean,brier_score_mean,roc_auc_mean,model__kernel,model__C,model__gamma,model__degree
0.48337425581639976,0.490273396424816,0.23119064099345374,0.7156837901394746,linear,0.0009765625,32.0,4
0.28809270633872497,0.3904837013669821,0.46773122335011463,0.5596610793563096,poly,0.0078125,0.0078125,2
0.585533717629955,0.5814405888538381,0.34575559359319563,0.5489506964027147,linear,4.0,0.5,2
0.7153223374595901,0.7105678233438486,0.22622908521733562,0.7268595000539305,linear,0.0009765625,0.0078125,3
0.2982208916746179,0.38843322818086223,0.3138029132307114,0.541306868862973,linear,4.0,0.0078125,5
0.33918189584667424,0.3923764458464774,0.2611784749673173,0.49279500093699513,poly,0.5,4.0,4
0.3437462519144239,0.3768664563617245,0.23287859872471428,0.5415448096095736,linear,256.0,256.0,3
0.5940065057223805,0.5847003154574133,0.2805736863234836,0.6776702384836897,sigmoid,0.0625,0.0625,3
0.4209534854619383,0.4647739221871714,0.4298777386901787,0.4408857193794648,poly,256.0,0.0625,2
0.45514288925339774,0.48207150368033647,0.22564477739882977,0.7077307529948925,linear,0.5,0.0009765625,4
0.23126892261465343,0.36051524710830707,0.29398215801121635,0.6186239227465947,rbf,4.0,0.0625,2
0.6966089069481947,0.6905888538380652,0.24670983611997357,0.6469551732218819,sigmoid,4.0,0.0009765625,5
0.4526991806398634,0.4728706624605678,0.23228957593504446,0.5668996698401638,linear,4.0,0.0625,4
0.18488849157121234,0.34978969505783386,0.44497979121357134,0.5770973122789429,poly,32.0,0.0009765625,2
0.1852555532593085,0.35189274447949526,0.22802245996272655,0.47587746780849455,poly,256.0,0.0009765625,5
0.6095287587279968,0.6335436382754994,0.23741721756597162,0.6025544320451557,rbf,0.5,32.0,4
0.2939767226611746,0.39794952681388013,0.5019095577160049,0.5171235192858041,poly,0.0625,0.0625,3
0.5959101377585428,0.5926919032597266,0.23532049970490918,0.604415630766497,rbf,32.0,32.0,2
0.38056204172659697,0.40741324921135647,0.26180338303588185,0.4299628514410713,poly,4.0,32.0,3
0.18972463838869827,0.3519978969505783,0.38222903280315834,0.4925886207276514,poly,0.5,0.5,4
0.3675425978779042,0.43249211356466877,0.5221495627718278,0.5560079320129527,poly,32.0,0.0625,2
0.1866802020745981,0.35021030494216615,0.3203775045679061,0.4986300326144143,poly,256.0,0.0009765625,4
0.7128685237613518,0.7068349106203996,0.29680014506100816,0.6244393306324078,sigmoid,0.0625,0.0009765625,3
0.5786162502122721,0.6382754994742377,0.2156650312512413,0.6759321719314282,rbf,0.0078125,32.0,5
0.4899235935995487,0.4809148264984227,0.250417500019597,0.41911640534913647,sigmoid,32.0,0.5,3
0.6649725846314855,0.657465825446898,0.3348706635350059,0.5915611803500287,rbf,0.0078125,0.0078125,4
0.41697821104528826,0.42365930599369084,0.24339499376352092,0.4794480279065472,sigmoid,4.0,0.5,4
0.24745579206782906,0.33049421661409045,0.2823246896581492,0.46776660372827067,poly,0.0078125,4.0,5
0.47152905418661717,0.4661409043112513,0.24812413519077053,0.45465403103840013,linear,256.0,0.0009765625,2
0.18339487882439717,0.35110410094637223,0.41377899332348744,0.4967633535385437,poly,32.0,0.0078125,5
0.45359686566920576,0.48643533123028393,0.31086053130021857,0.5916627730283527,linear,0.5,0.5,5
0.41419985700711565,0.46966351209253415,0.22361889638431853,0.5774026298620929,rbf,4.0,256.0,2
0.4639640654802306,0.46256572029442694,0.3139141589446008,0.4967592250856293,linear,32.0,4.0,4
0.4512290029753066,0.49079915878023134,0.4490586416553057,0.4761293216232868,rbf,0.0009765625,0.0625,5
0.195113286610015,0.35304942166140907,0.22800188291115697,0.4872142480100008,poly,0.5,0.0009765625,4
0.19526394611431397,0.3534174553101998,0.22800817345224142,0.48286727202113144,poly,4.0,0.0009765625,4
0.18334110497428402,0.34931650893796007,0.46795004954452435,0.5057411442320675,poly,0.0078125,0.0625,3
0.6061519172771991,0.5983701366982124,0.2744799848935657,0.6048671780306263,linear,4.0,0.0625,5
0.6903620761703134,0.6832281808622502,0.22400024169813754,0.7025796198515707,linear,0.0009765625,0.0625,4
0.20109799287766816,0.3536803364879075,0.516019006731037,0.505779227846176,poly,0.0009765625,0.0078125,2
0.45166760516122645,0.4859095688748686,0.26826470207346487,0.5671564402119511,linear,32.0,0.5,2
0.2939048009821698,0.3631966351209253,0.2580313113951378,0.4951827562439182,poly,0.0078125,32.0,5
0.4040548896066591,0.4301787592008412,0.2724679424576826,0.4498350716403584,poly,0.0625,4.0,5
0.3816316602999583,0.39337539432176655,0.2785318489829614,0.37775968587189823,poly,4.0,256.0,3
0.4798451066755542,0.47003154574132494,0.2521102592096738,0.4554767025764069,sigmoid,4.0,0.5,2
0.18891918447098105,0.3526813880126183,0.2280009693345037,0.503929299013187,poly,0.0078125,0.0009765625,4
0.4689506552088329,0.483596214511041,0.27459195465862307,0.6544035206379482,linear,4.0,4.0,3
0.43149387533212746,0.4753943217665615,0.22852175711422426,0.5718044901466135,poly,0.0009765625,0.0009765625,2
0.1910964045722418,0.35252365930599366,0.22801282730125474,0.4926274803211623,poly,0.0009765625,0.0009765625,4
0.5287608455605696,0.5334384858044164,0.2494670846663166,0.6417254842887451,linear,4.0,0.0078125,4
0.4369363393234271,0.4428496319663512,0.40685676236044144,0.5018644117610542,sigmoid,0.0078125,4.0,3
0.18295476316806872,0.3516298633017876,0.22801361277971122,0.4924359467802287,sigmoid,0.0078125,256.0,5
0.6247431566759479,0.6162986330178759,0.25337490765404846,0.6488823059430711,sigmoid,0.0078125,0.0009765625,2
0.46322944270885447,0.4523133543638275,0.33528942611374857,0.49630565906258584,sigmoid,0.0625,0.5,5
0.18295476316806872,0.3516298633017876,0.22801305165178748,0.49238982450449836,sigmoid,256.0,32.0,2
0.6173399926843486,0.6109884332281809,0.24577266249455515,0.6323577154468012,linear,0.0009765625,0.5,4
