f1_mean,accuracy_mean,brier_score_mean,roc_auc_mean,model__kernel,model__C,model__gamma,model__degree
0.3109678703269437,0.4795866680174248,0.2497248485573086,0.4827890049574488,sigmoid,256.0,256.0,2
0.4929208876794288,0.5248708337554453,0.2435693667564803,0.5947507212479481,linear,32.0,4.0,2
0.3354350628532308,0.48424678350724343,0.25754776172771715,0.5111153190761446,poly,0.5,0.5,5
0.5447827820086886,0.5667105663053389,0.24811758028268754,0.528580806909506,poly,256.0,0.5,2
0.3162414239415966,0.4798905885928477,0.24965728708475307,0.5147636864405385,poly,0.5,0.0009765625,5
0.40451125376222674,0.5354067470367744,0.24964414889380507,0.5131786680022501,rbf,256.0,256.0,5
0.5297287016068004,0.530544017830007,0.24615248362437805,0.5628461702309638,rbf,0.5,32.0,5
0.4125014037597959,0.5154492959173336,0.2601577780414318,0.5794761782576229,linear,4.0,32.0,2
0.5346397952017261,0.5765373315773478,0.2590534123007509,0.6653803863323103,rbf,0.0009765625,0.0009765625,5
0.4277134717338193,0.5192989565393578,0.2710244812327327,0.6290442107721712,poly,0.0009765625,4.0,2
0.3577313484697342,0.4921487184682403,0.25532802375791225,0.5734089368953278,poly,0.5,0.0009765625,3
0.3728962877425929,0.4936683213453551,0.25178288270944105,0.542501036228523,linear,4.0,0.0009765625,5
0.4927653487571362,0.5542498227129977,0.2756726388706004,0.6398484145703599,rbf,0.0625,0.0078125,4
0.34023024201877006,0.4861716138182555,0.29278020141856703,0.5816110557359361,poly,0.0625,0.5,3
0.3980733138245087,0.5062303717961706,0.3034148313834498,0.6009106886149737,rbf,0.5,0.0625,2
0.5614234509690798,0.593759497517982,0.26305698929238014,0.5715557737666412,linear,0.5,4.0,2
0.38269061685180156,0.5022794043156722,0.24970402077636344,0.5207100550352481,poly,0.0625,0.0009765625,3
0.47886466348928136,0.5304427109715327,0.27254953241547625,0.6540340335277496,rbf,0.0625,0.0078125,5
0.4707991479444087,0.5389524870833755,0.26403504025404545,0.6504673513998955,rbf,32.0,0.0009765625,3
0.47226130546712514,0.5383446459325296,0.27702965406572233,0.6039714691746686,rbf,0.0009765625,0.0009765625,3
0.6072382057704077,0.6232397933340087,0.2353277690438049,0.6524806365074822,rbf,0.0625,4.0,3
0.35357507734720756,0.48039712288521935,0.25428980655671646,0.5574463299417409,rbf,0.0078125,32.0,4
0.3110122635954241,0.4796879748758991,0.24962318826583088,0.4913945127587693,sigmoid,0.0625,256.0,2
0.48432576033806773,0.5148414547664877,0.2502212396852635,0.4946706602584979,linear,32.0,0.5,4
0.5281828656659436,0.5725863640968494,0.2747778255617916,0.6504336534128103,linear,0.0009765625,0.0625,3
0.5081853053341783,0.5555668118731638,0.25878883308243034,0.5945075365064953,sigmoid,4.0,0.0009765625,2
0.5402010245357737,0.5636713605511093,0.24998209406160313,0.5349411323510544,linear,32.0,0.0078125,2
0.5283285170826529,0.5496910140816533,0.24722682613053631,0.5812360602591558,rbf,4.0,4.0,3
0.5025614348938174,0.5519197649680884,0.2715599377430142,0.6280307628286736,sigmoid,0.0078125,0.0009765625,4
0.39916072752535925,0.5332793030088137,0.24934541021775408,0.5121998432498759,rbf,256.0,256.0,2
0.36555275214306243,0.48718468240299867,0.2565246096233331,0.5371231335550534,rbf,0.0078125,32.0,3
0.5117831799560196,0.5522236855435113,0.273189664775358,0.6376101609608306,linear,0.0625,256.0,5
0.487624280584363,0.517171512511397,0.263405665075983,0.48355120860431533,poly,0.0078125,256.0,3
0.4933320875151008,0.49934150541991695,0.247960737552613,0.5360179464911328,rbf,256.0,0.5,3
0.49710448607278446,0.5019754837402493,0.2495625149629011,0.4995958297558777,rbf,0.0078125,256.0,2
0.48702132637532625,0.5474622631952183,0.2606330060348012,0.6599348820837734,sigmoid,256.0,0.0009765625,5
0.4637958984952775,0.5159558302097051,0.2513234055304152,0.5227214074943994,poly,0.0078125,256.0,5
0.4896351295857392,0.4935670144868808,0.24946611201603675,0.5080718501120115,rbf,0.0625,256.0,3
0.474252758874873,0.5113970215783609,0.24896390231472396,0.5284193896449518,poly,0.0009765625,32.0,3
0.4910697222663226,0.5451322054503089,0.26737991063778493,0.6902921424271433,sigmoid,0.0625,0.0625,2
0.3513754619127435,0.48465201094114074,0.26278795132244537,0.5587510732366845,rbf,0.0625,32.0,5
0.4819789457357631,0.5389524870833755,0.2782146217586992,0.6439367267350248,rbf,0.0009765625,0.0009765625,4
0.4875541714487393,0.5534393678452031,0.29353279871035254,0.6447681150838687,poly,4.0,0.0625,2
0.3331330666888022,0.487589909836896,0.24741151093289596,0.5951451871297128,linear,4.0,0.5,4
0.5922341286042105,0.6038901833654139,0.2421383907681231,0.6101445949991282,rbf,0.5,4.0,2
0.48147271615442166,0.5366224293384663,0.2642706422119427,0.5823429949307043,sigmoid,4.0,0.0078125,4
0.43773441880533953,0.5258839023401884,0.3063014675726723,0.5866569540802732,poly,0.0625,0.5,2
0.38855804469223404,0.5021780974571979,0.2917442075164409,0.6097032109925753,rbf,4.0,0.0625,5
0.313557096387075,0.48019450916827067,0.3049853851582757,0.535257757733061,poly,0.0078125,0.5,5
0.4183735815819841,0.46965859588694153,0.25455018314098815,0.4913620072568893,poly,4.0,4.0,4
0.3109678703269437,0.4795866680174248,0.24962947205851052,0.49078416593472746,sigmoid,4.0,256.0,2
0.498440859261364,0.5493870935062304,0.27832865744967095,0.638272154730301,rbf,0.5,0.5,5
0.3708010311520673,0.4909330361665485,0.26731901111573236,0.5025925450759408,poly,4.0,0.5,3
0.4748188530253086,0.5347989058859285,0.26881990841583975,0.6236103024142479,linear,0.0625,4.0,4
0.442260858534227,0.4882990578462162,0.24967534886040896,0.508868923671078,rbf,0.0078125,256.0,3
0.3493206233704701,0.4899199675818053,0.24961967144625605,0.527201821130509,poly,0.0009765625,0.0009765625,3
0.3132475439364442,0.4807010434606423,0.24962209265193375,0.4927093304976857,sigmoid,0.5,32.0,3
0.43207737439204574,0.5033937797588897,0.2813544246365146,0.5424271843861743,sigmoid,0.5,0.5,3
0.4788976339194303,0.5115996352953095,0.2526614822573495,0.5079498670995799,poly,32.0,32.0,2
0.504865734136183,0.5190963428224091,0.24974532231538543,0.5251679348130018,linear,256.0,0.5,3
0.38631916249280895,0.4520312025124101,0.24970015998134057,0.518927125173116,poly,256.0,32.0,5
0.3409145097160901,0.48627292067672984,0.2668767226714479,0.5685949358031758,linear,4.0,0.0078125,2
0.5528486752601249,0.5531354472697801,0.2376532877663229,0.6230992197034741,rbf,256.0,0.5,5
0.3127563730250492,0.48039712288521935,0.24963989616588186,0.48943834358048205,sigmoid,0.0078125,32.0,5
0.3109678703269437,0.4795866680174248,0.24966122120294934,0.4872934738985548,sigmoid,0.0625,256.0,3
0.3895655864127559,0.5041029277682099,0.2877295158021169,0.5923343967011747,rbf,0.0078125,0.0625,4
0.46811873045677627,0.5344949853105055,0.26934185780443437,0.6858007497031123,rbf,4.0,0.0009765625,3
0.3437658585450732,0.48910951271401076,0.32256152991563675,0.5724904765664321,poly,0.0078125,0.5,3
