f1,accuracy,brier_score,roc_auc,model__kernel,model__C,model__gamma,model__degree
0.49794722172104644,0.5513119238172425,0.3216810940167727,0.624465704947909,linear,0.0009765625,0.25,3
0.5288518896309016,0.5759294904265019,0.30214843775187433,0.6601121717376073,poly,0.015625,0.0078125,2
0.4938923720304023,0.5494884003647047,0.3192773136810676,0.6281490655850415,sigmoid,0.001953125,0.0009765625,2
0.4960060852546112,0.5176780468037686,0.24885024472325676,0.5276369959899601,poly,0.125,64.0,2
0.4729315454056681,0.49822712997669943,0.25088652573249814,0.519706804896262,poly,128.0,8.0,3
0.5378284106866092,0.5685340897578766,0.25021108751295307,0.6008694039547744,sigmoid,256.0,0.25,2
0.4835075072080732,0.5130179313139499,0.25494120324708497,0.4660403035327168,poly,8.0,1.0,4
0.4482403496357222,0.5334819167257623,0.32756829921132324,0.6732104086687918,poly,0.0625,1.0,2
0.3532613097926515,0.4936683213453551,0.2967797898074732,0.5662814117051058,linear,4.0,0.0078125,4
0.5188018659234391,0.5260865160571371,0.2497887063151964,0.5387202002059298,rbf,512.0,0.25,2
0.5253888166251504,0.5767399452942964,0.2764913427246006,0.7155811761687177,sigmoid,128.0,0.0078125,5
0.5152955261609301,0.5224394691520616,0.24940629883878832,0.5243503628444638,linear,128.0,0.5,4
0.45060460178531286,0.5374328842062608,0.24960398021370284,0.5383907453279253,poly,0.00390625,0.001953125,3
0.41867618743763124,0.5163610576436025,0.2995386607889136,0.5991845868408846,rbf,0.00390625,0.125,2
0.34851657513134215,0.4671259244250836,0.24938959799605995,0.5439148507995408,sigmoid,0.25,16.0,4
0.47925682650959267,0.5085604295410799,0.24840555709851128,0.5468343629826276,poly,2.0,2.0,3
0.34801472938356737,0.4764461554047209,0.2497254644974473,0.48993641175445,rbf,0.00390625,512.0,3
0.48553106813161045,0.4969101408165333,0.2519915287102027,0.5127469266777855,poly,0.03125,16.0,5
0.46536605867989783,0.5046094620605815,0.24867662166865254,0.5385387985341479,rbf,128.0,0.125,4
0.46484251832549356,0.5399655556681188,0.3073327586350834,0.6913907502623468,linear,0.125,0.001953125,4
0.45060634828451174,0.5296322561037382,0.32939337427058457,0.6472150124840865,sigmoid,0.25,0.00390625,3
0.3794217202973171,0.49235133218518895,0.26308942287461284,0.5868113809143154,rbf,0.0625,32.0,5
0.3815283405550092,0.5091682706919258,0.3910129080100862,0.6731387361959557,sigmoid,0.015625,0.25,3
0.5140701566983885,0.5370276567723635,0.24989358038977966,0.5221517079677749,poly,128.0,128.0,4
0.3411769603851364,0.383345152466822,0.25413976528193144,0.5653990137736153,sigmoid,256.0,4.0,4
0.48553106813161045,0.4969101408165333,0.2519915287102027,0.5127469266777855,poly,0.015625,64.0,5
0.49794722172104644,0.5513119238172425,0.3197160424724681,0.6192035350195896,linear,0.001953125,0.0078125,3
0.4960060852546112,0.5176780468037686,0.24885024472325676,0.5276369959899601,poly,8.0,512.0,2
0.3110122635954241,0.4796879748758991,0.24960520437369813,0.4936676568405886,sigmoid,4.0,512.0,5
0.4739033421051574,0.5409786242528619,0.3139718823988414,0.6487468830903953,rbf,128.0,0.0009765625,2
0.4319641343963032,0.5269982777834059,0.31749910596275477,0.66619783494031,rbf,1.0,0.0078125,4
0.34851657513134215,0.4671259244250836,0.24939623411041986,0.543932039034564,sigmoid,0.03125,16.0,2
0.3606389151025385,0.496200992807213,0.2699945805340061,0.47890460776283195,rbf,64.0,0.03125,2
0.48631862619123645,0.5250734474723939,0.24963397226456535,0.5017831149029399,rbf,64.0,512.0,3
0.5288518896309016,0.5759294904265019,0.29935015225392636,0.6268086916545773,poly,2.0,0.03125,2
0.48001972173086377,0.5483740249214872,0.34404083743034625,0.6933969421389731,rbf,32.0,0.0009765625,2
0.40124975805027074,0.5125113970215783,0.32546961989293277,0.6006833762628008,rbf,0.5,0.125,2
0.525207469449014,0.5728902846722723,0.29013662402088697,0.6468651208768796,poly,256.0,0.00390625,2
0.3116836434068397,0.47999189545132204,0.24960525533879,0.493628859951248,sigmoid,0.00390625,128.0,3
0.4729315454056681,0.49822712997669943,0.25088652573249814,0.519706804896262,poly,32.0,128.0,3
0.48631862619123645,0.5250734474723939,0.24963397226456535,0.5017831149029399,rbf,64.0,512.0,5
0.3802114455858013,0.5026846317495695,0.3002566016233995,0.595574255642511,poly,128.0,0.0625,4
0.34851657513134215,0.4671259244250836,0.24938955445561653,0.5439147274390024,sigmoid,2.0,16.0,5
0.46484251832549356,0.5399655556681188,0.3073327586350834,0.6913907502623468,linear,0.125,0.125,2
0.4957007078533378,0.5002532671461858,0.24946376429678394,0.520203598344666,rbf,0.0009765625,256.0,3
0.5288518896309016,0.5759294904265019,0.3013881350738209,0.660450652495008,poly,0.0009765625,0.00390625,2
0.39970003337885135,0.5109917941444636,0.24960520428491012,0.5349620830825003,poly,0.00390625,0.001953125,4
0.548832047390621,0.5675210211731334,0.240127730532061,0.632222512804824,linear,64.0,0.125,4
