f1,accuracy,brier_score,roc_auc,model__kernel,model__C,model__gamma,model__degree
0.6786961395474753,0.6712933753943218,0.3532013442865612,0.6844779239679861,linear,0.0009765625,0.25,3
0.21736783907319365,0.36535226077812827,0.5532005943694803,0.5388003523334477,poly,0.015625,0.0078125,2
0.6790580419363044,0.6717665615141956,0.35015049001718246,0.6842825226547187,sigmoid,0.001953125,0.0009765625,2
0.2706462008466934,0.3003154574132492,0.27904722498173684,0.3442554172092056,poly,0.125,64.0,2
0.3540336332733368,0.36929547844374344,0.24514134726947576,0.39261706037274946,poly,128.0,8.0,3
0.4420725656395789,0.4307570977917981,0.3020444410419817,0.4227550818891063,sigmoid,256.0,0.25,2
0.5190960101259872,0.5177707676130389,0.29088153424337465,0.5324503249510746,poly,8.0,1.0,4
0.20942339168030344,0.3573080967402734,0.4995082712939755,0.5244678187762184,poly,0.0625,1.0,2
0.6017705947665253,0.5975289169295478,0.3739277093808119,0.6208957479432666,linear,4.0,0.0078125,4
0.465034993004627,0.4654048370136698,0.23159313972535592,0.5359462334056805,rbf,512.0,0.25,2
0.7182794183598672,0.7160357518401682,0.3634322892443549,0.6117721216208036,sigmoid,128.0,0.0078125,5
0.36531241504195316,0.38128286014721346,0.2555438807191528,0.429521379784495,linear,128.0,0.5,4
0.19133801912815984,0.3526813880126183,0.22801605925870994,0.5369304965918985,poly,0.00390625,0.001953125,3
0.18543928368609516,0.34957939011566774,0.38310375246257217,0.5713519486588748,rbf,0.00390625,0.125,2
0.6392318303529506,0.6646687697160883,0.22793269786873221,0.5499437499806005,sigmoid,0.25,16.0,4
0.3442400370768074,0.39069400630914825,0.3503235405370421,0.46580127827086965,poly,2.0,2.0,3
0.5778212454898537,0.5736067297581493,0.22234081945477782,0.6316776240616468,rbf,0.00390625,512.0,3
0.34451741445862666,0.3780757097791798,0.24623200852916627,0.46058951567439593,poly,0.03125,16.0,5
0.3058679479280627,0.3931125131440589,0.3199966115080155,0.543318152912949,rbf,128.0,0.125,4
0.617960572901774,0.6100946372239747,0.34629245521768565,0.6176069168669986,linear,0.125,0.001953125,4
0.7034740531314978,0.6967402733964249,0.3551193655997648,0.6670626788632523,sigmoid,0.25,0.00390625,3
0.4073024640610108,0.46377497371188225,0.3047524015098959,0.7154246736424629,rbf,0.0625,32.0,5
0.3700633704570079,0.38648790746582545,0.5197272650870345,0.43738811953225515,sigmoid,0.015625,0.25,3
0.3201039276715001,0.346267087276551,0.2661422715782507,0.39064970403175614,poly,128.0,128.0,4
0.32490819182200037,0.3905888538380652,0.29016697095658145,0.4924428820961376,sigmoid,256.0,4.0,4
0.34451741445862666,0.3780757097791798,0.24623200852916627,0.46058951567439593,poly,0.015625,64.0,5
0.6786961395474753,0.6712933753943218,0.3528630340876048,0.6850074086633444,linear,0.001953125,0.0078125,3
0.4904556559967008,0.48664563617245005,0.22435159791224718,0.5577650464346076,poly,8.0,512.0,2
0.18295476316806872,0.3516298633017876,0.22799483388766323,0.4970020520775297,sigmoid,4.0,512.0,5
0.7253622531678732,0.7199263932702419,0.36347435707672077,0.6643429316812214,rbf,128.0,0.0009765625,2
0.6248802959264533,0.6243953732912724,0.32542904259483774,0.6767315519626848,rbf,1.0,0.0078125,4
0.6392318303529506,0.6646687697160883,0.22799480559435878,0.5382915462766956,sigmoid,0.03125,16.0,2
0.18530088408075343,0.34295478443743427,0.4819448311046086,0.43796918867085594,rbf,64.0,0.03125,2
0.49416954541613484,0.5201892744479495,0.21704101039329618,0.6524711682428102,rbf,64.0,512.0,3
0.21743725808324324,0.3655099894847529,0.5544806700045388,0.5574088840135828,poly,2.0,0.03125,2
0.7357224828961518,0.7297055730809674,0.346692307552128,0.7032481624807752,rbf,32.0,0.0009765625,2
0.21630781173050906,0.36351209253417455,0.41484042098989615,0.5924714769371162,rbf,0.5,0.125,2
0.21741411962105128,0.3654574132492114,0.5622509134561562,0.5684226870381952,poly,256.0,0.00390625,2
0.18295476316806872,0.3516298633017876,0.22799483388766323,0.4970020520775297,sigmoid,0.00390625,128.0,3
0.3540336332733368,0.36929547844374344,0.24514134726947576,0.39261706037274946,poly,32.0,128.0,3
0.49416954541613484,0.5201892744479495,0.21704101039329618,0.6524711682428102,rbf,64.0,512.0,5
0.1875513389933111,0.3524185068349106,0.6303429542716072,0.5447924774034798,poly,128.0,0.0625,4
0.6392318303529506,0.6646687697160883,0.22731284612979163,0.5661294557222273,sigmoid,2.0,16.0,5
0.617960572901774,0.6100946372239747,0.34629245521768565,0.6176069168669986,linear,0.125,0.125,2
0.5767319833688549,0.5735015772870663,0.23225423988889604,0.6741742815303711,rbf,0.0009765625,256.0,3
0.21736783907319365,0.36535226077812827,0.5539478520446482,0.5377741074490919,poly,0.0009765625,0.00390625,2
0.19585594889941665,0.3557308096740273,0.2279948338444441,0.5461701318350206,poly,0.00390625,0.001953125,4
0.3581044402518784,0.4025762355415352,0.31687343730838774,0.5029666844398283,linear,64.0,0.125,4
0.18295476316806872,0.3516298633017876,0.22799483388766323,0.4970020520775297,sigmoid,0.0625,128.0,3
0.18295476316806872,0.3516298633017876,0.22799483388766323,0.4970020520775297,sigmoid,0.125,32.0,5
0.18653725192773155,0.35168243953732914,0.22799483235886045,0.5370829522951144,poly,0.0078125,0.0078125,5
0.6195612219374518,0.6133017875920084,0.24145321488062105,0.6141906796725988,rbf,8.0,8.0,5
0.7200234174555272,0.7136698212407991,0.3485645406520666,0.7016952337017166,linear,0.0078125,0.001953125,5
0.18543928368609516,0.34957939011566774,0.38310375246258227,0.5713519486588748,rbf,0.0078125,0.125,3
0.3540336332733368,0.36929547844374344,0.24514134726947576,0.39261706037274946,poly,128.0,16.0,3
0.4166864091258281,0.4226603575184017,0.4963016603373922,0.470008990206364,sigmoid,0.03125,0.25,5
0.21583618301549748,0.3594637223974763,0.33996942839531247,0.5283111720082502,poly,0.00390625,16.0,2
0.36531241504195316,0.38128286014721346,0.2555438807191528,0.429521379784495,linear,128.0,0.0009765625,2
0.34451741445862666,0.3780757097791798,0.24781684819594707,0.45819928693312767,poly,0.03125,8.0,5
0.31715298961797633,0.3868559411146162,0.34532087884691637,0.4874828702546919,sigmoid,0.0625,4.0,2
0.3607183854572656,0.4320715036803365,0.22799483388765385,0.515245176269541,poly,4.0,0.0009765625,5
0.20543727357677619,0.32618296529968455,0.3678358925082368,0.43425921902329023,rbf,16.0,0.5,5
0.6523638347632127,0.6450052576235542,0.36156560659868625,0.6576418039309565,sigmoid,0.015625,0.0625,4
0.4202364109315313,0.41966351209253416,0.24217066019846845,0.4984484534342521,poly,0.001953125,256.0,2
0.5923184435280762,0.5901682439537329,0.3785458214144394,0.6810954782516253,rbf,0.001953125,0.001953125,5
0.1872540312650589,0.3344900105152471,0.46781320424707,0.3988600995950164,poly,0.001953125,64.0,2
0.4904556559967008,0.48664563617245005,0.2256941111440808,0.5594230719239789,poly,0.00390625,512.0,2
0.18827391384274214,0.35173501577287064,0.5926084351049029,0.5664111665569949,poly,4.0,0.0078125,3
0.4694927664944266,0.45904311251314406,0.2747034315445249,0.4659799839023073,linear,512.0,0.00390625,5
0.18744907892648738,0.350788643533123,0.4555586739222987,0.5382485461055921,rbf,0.25,0.0625,4
0.3442400370768074,0.39069400630914825,0.3503235405370421,0.46580127827086965,poly,0.25,4.0,3
0.35243058828760615,0.3776550998948475,0.278433975669357,0.4127088524312211,rbf,16.0,1.0,2
0.35023194295305005,0.4268664563617245,0.41444733180682436,0.49446399926010365,linear,16.0,512.0,2
