f1,accuracy,brier_score,roc_auc,model__kernel,model__C,model__gamma,model__degree
0.3789784882060221,0.5024973711882229,0.25536320727392153,0.4942686512951666,linear,0.0009765625,0.25,3
0.3592193617205766,0.5011829652996845,0.2527673910627254,0.5007580293476013,poly,0.015625,0.0078125,2
0.3789784882060221,0.5024973711882229,0.2553626664479799,0.49426941146681613,sigmoid,0.001953125,0.0009765625,2
0.4669470732562215,0.5002628811777077,0.2507708720173013,0.4963497593987623,poly,0.125,64.0,2
0.44065033606292253,0.4896161934805468,0.25092518237912625,0.4802326000855815,poly,128.0,8.0,3
0.4975879882516712,0.5052576235541535,0.25019789719991137,0.512039736798168,sigmoid,256.0,0.25,2
0.37633496674967404,0.4921135646687697,0.2509830801795862,0.4935304900702233,poly,8.0,1.0,4
0.344537960342481,0.5006572029442692,0.2569224118027095,0.4951158971518165,poly,0.0625,1.0,2
0.3872657357198787,0.5057833859095688,0.2554069564972294,0.49708816249650317,linear,4.0,0.0078125,4
0.5176024213134588,0.5199789695057834,0.25036211515033063,0.49137927340858756,rbf,512.0,0.25,2
0.40719929369227964,0.5067034700315457,0.25359402358884814,0.5015247315626585,sigmoid,128.0,0.0078125,5
0.4742222201309945,0.5057833859095688,0.25138808757596254,0.49090623932304367,linear,128.0,0.5,4
0.3353707354930476,0.5003943217665615,0.25,0.5,poly,0.00390625,0.001953125,3
0.3522608661897314,0.5018401682439537,0.25319321691468843,0.5120359013866637,rbf,0.00390625,0.125,2
0.5061895395258833,0.5090694006309149,0.25249763203428216,0.4943686484203357,sigmoid,0.25,16.0,4
0.39805642657123796,0.5006572029442692,0.2517890295676788,0.5001838233261573,poly,2.0,2.0,3
0.4927775830328873,0.49539957939011564,0.24994562104413376,0.5024922918594739,rbf,0.00390625,512.0,3
0.4000499768140859,0.49539957939011564,0.2507019223431892,0.5026810908546099,poly,0.03125,16.0,5
0.4956646943663158,0.531677181913775,0.25106768722406286,0.4782851785325315,rbf,128.0,0.125,4
0.35265182794553956,0.499211356466877,0.25914665767433515,0.49469728444572714,linear,0.125,0.001953125,4
0.39181142181298195,0.5035488958990536,0.2553804650556446,0.4935381263399753,sigmoid,0.25,0.00390625,3
0.517724474135063,0.5177444794952681,0.24938054827731398,0.5303647455608739,rbf,0.0625,32.0,5
0.4199903960471238,0.5107781282860148,0.2633281344833152,0.5144008299415856,sigmoid,0.015625,0.25,3
0.4395472408789984,0.5011829652996845,0.2503775218445693,0.4919141232705403,poly,128.0,128.0,4
0.4970509545802817,0.4997371188222923,0.2519211662671347,0.47135186023677544,sigmoid,256.0,4.0,4
